ID,Author,Birth Year,Death Year
245,加藤 文太郎,1905,1936,"Kato, Buntaro"
246,金子 ふみ子,1903,1926,"Kaneko, Fumiko"
247,加能 作次郎,1885,1941,"Kano, Sakujiro"
248,上司 小剣,1874,1947,"Kamitsukasa, Shoken"
249,嘉村 礒多,1897,1933,"Kamura, Isota"
250,河上 肇,1879,1946,"Kawakami, Hajime"
251,岸田 劉生,1891,1929,"Kishida, Ryusei"
252,金 史良,1914,1950,"Kim, Sa-ryang"
253,陸 羯南,1857,1907,"Kuga, Katsunan"
254,九条 武子,1887,1928,"Kujo, Takeko"
255,国枝 史郎,1887,1943,"Kunieda, Shiro"
256,倉田 百三,1891,1943,"Kurata, Hyakuzo"
257,黒田 清輝,1866,1924,"Kuroda, Seiki"
258,小泉 八雲,1850,1904,"Koizumi, Yakumo"
259,小出 楢重,1887,1931,"Koide, Narashige"
260,甲賀 三郎,1893,1945,"Koga, Saburo"
261,幸徳 秋水,1871,1911,"Kotoku, Shusui"
262,小酒井 不木,1890,1929,"Kosakai, Fuboku"
263,佐々木 喜善,1886,1933,"Sasaki, Kizen"
264,シェークスピア ウィリアム,1546,1616,"Shakespeare, William"
265,島木 赤彦,1876,1926,"Shimagi, Akahiko"
266,末松 謙澄,1855,1920,"Suematsu, Kencho"
267,世阿弥 元清,1363,1443,"Zeami, Motokiyo"
268,関根 金次郎,1868,1946,"Sekine, Kinjiro"
269,高神 覚昇,1894,1948,"Takagami, Kakusho"
270,高村 光雲,1852,1934,"Takamura, Koun"
271,高山 樗牛,1871,1902,"Takayama, Chogyu"
272,谷 譲次　→林不忘,1900,1935,"Tani, Joji"
273,田畑 修一郎,1903,1943,"Tabata, Shuichiro"
274,談洲楼 燕枝　二代,1879,1935,"Danshuro, Enshi Nidai"
275,近松 秋江,1876,1944,"Chikamatsu, Shuko"
276,知里 幸恵,1903,1922,"Chiri, Yukie"
277,辻村 伊助,1886,1923,"Tsujimura, Isuke"
278,津村 信夫,1909,1944,"Tsumura, Nobuo"
279,徳冨 健次郎　→徳冨蘆花,1868,1927,"Tokutomi, Kenjiro"
280,徳冨 蘆花,1868,1927,"Tokutomi, Roka"
281,戸坂 潤,1900,1945,"Tosaka, Jun"
282,富ノ沢 麟太郎,1899,1925,"Tominosawa, Rintaro"
283,中里 介山,1885,1944,"Nakazato, Kaizan"
284,内藤 湖南,1866,1934,"Naito, Konan"
285,長田 秀雄,1885,1949,"Nagata, Hideo"
286,野口 雨情,1882,1945,"Noguchi, Ujo"
287,野呂 栄太郎,1900,1934,"Noro, Eitaro"
288,ハイヤーム オマル,1048,1131,"Khayyam, 'Umar"
289,浜尾 四郎,1896,1935,"Hamao, Shiro"
290,林 不忘,1900,1935,"Hayashi, Fubo"
291,林 芙美子,1903,1951,"Hayashi, Fumiko"
292,原田 皐月,1887,1933,"Harada, Satsuki"
293,原 民喜,1905,1951,"Hara, Tamiki"
294,平野 万里,1885,1947,"Hirano, Banri"
295,広津 柳浪,1861,1928,"Hirotsu, Ryuro"
296,福沢 諭吉,1835,1901,"Fukuzawa, Yukichi"
297,藤岡 作太郎,1870,1910,"Fujioka, Sakutaro"
298,藤島 武二,1867,1943,"Fujishima, Takeji"
299,アラン・フルニエ アンリ,1886,1914,"Alain Fournier, Henri"
301,穂積 陳重,1855,1926,"Hozumi, Nobushige"
302,堀口 九万一,1865,1945,"Horiguchi, Kumaichi"
303,本庄 陸男,1905,1939,"Honjo, Mutsuo"
304,牧 逸馬　→林不忘,1900,1935,"Maki, Itsuma"
305,正岡 子規,1867,1902,"Masaoka, Shiki"
306,松田 司郎,N/A,N/A,"Matsuda, Shiro"
307,松濤 明,1922,1949,"Matsunami, Akira"
308,松本 泰,1887,1939,"Matsumoto, Tai"
309,真山 青果,1878,1948,"Mayama, Seika"
310,三上 於菟吉,1891,1944,"Mikami, Otokichi"
311,宮本 百合子,1899,1951,"Miyamoto, Yuriko"
312,村井 政善,N/A,1937,"Murai, Masayoshi"
313,村上 華岳,1888,1939,"Murakami, Kagaku"
315,森 林太郎　→森鴎外,1862,1922,"Mori, Rintaro"
317,矢田 津世子,1907,1944,"Yada, Tsuseko"
318,山川 登美子,1879,1909,"Yamakawa, Tomiko"
319,山本 宣治,1889,1929,"Yamamoto, Senji"
320,与謝野 寛,1873,1935,"Yosano, Hiroshi"
321,与謝野 礼厳,1823,1898,"Yosano, Reigon"
322,吉江 孤雁　→吉江喬松,1880,1940,"Yoshie, Kogan"
323,吉野 作造,1878,1933,"Yoshino, Sakuzo"
325,蘭 郁二郎,1913,1944,"Ran, Ikujiro"
326,ルヴェル モーリス,1875,1926,"Level, Maurice"
329,楠山 正雄,1884,1950,"Kusuyama, Masao"
330,青木 栄瞳,N/A,N/A,"Aoki, Eime"
331,若杉 鳥子,1892,1937,"Wakasugi, Toriko"
332,ワイルド オスカー,1854,1900,"Wilde, Oscar"
335,ストールマン リチャード,1953,N/A,"Stallman, Richard"
336,ラティガン テレンス,1911,1977,"Rattigan, Terence"
338,フランス アナトール,1844,1924,"France, Anatole"
339,ルター マルチン,1483,1546,"Luther, Martin"
340,ガールシン フセヴォロド・ミハイロヴィチ,1855,1888,"Garshin, Vsevolod Mikhailvich"
341,馬場 孤蝶,1869,1940,"Baba, Kocho"
342,柴田 流星,1879,1913,"Shibata, Ryusei"
343,平田 禿木,1873,1943,"Hirata, Tokuboku"
344,土田 杏村,1891,1934,"Tsuchida, Kyoson"
345,後藤 宙外,1866,1938,"Goto, Chugai"
346,村岡 博,1895,1946,"Muraoka, Hiroshi"
347,小川 亮作,1910,1951,"Ogawa, Ryosaku"
348,范 曄,N/A,N/A,"Fan, Ye"
349,笠置 一郎,N/A,N/A,"Kasagi, Ichiro"
350,湯地 光弘,N/A,N/A,"Yuji, Mitsuhiro"
351,増田 雅子,1880,1946,"Masuda, Masako"
352,田中 早苗,1884,1945,"Tanaka, Sanae"
353,きるしぇ,N/A,N/A,"Kirushe,"
354,勝 海舟,1823,1899,"Katsu, Kaishu"
355,上村 松園,1875,1949,"Uemura, Shoen"
356,レニエ アンリ・ド,1864,1936,"Regnier, Henri de"
357,クラルテ ジュール,1840,1913,"Claretie, Jules"
358,ルモンニエー カミーユ,1844,1913,"Lemonnier, Camille"
359,ヒルシュフェルド ゲオルヒ,1873,1943,"Hirschfeld, Georg"
360,シュニッツレル アルツール,1862,1931,"Schnitzler, Arthur"
361,トルストイ レオ,1828,1910,"Толстой, Лев"
362,コロレンコ ウラジミール・ガラクティオノヴィチ,1853,1921,"Korolenko, Vladimir Galaktionovick"
363,ドストエフスキー フィヨードル・ミハイロヴィチ,1821,1881,"Dostoevskii, Fedor Mikhailovich"
364,ゴーリキー マクシム,1868,1936,"Gorky, Maksim"
365,チリコフ オイゲン,1864,1932,"Chirikov, Evgenii"
366,アルチバシェッフ ミハイル・ペトローヴィチ,1878,1927,"Artsybashev, Mikhail Petrovich"
367,クスミン ミカイル・アレクセーヴィチ,1872,1936,"Kuzmin, Mikhail Alekseevich"
368,添田 唖蝉坊,1872,1944,"Soeda, Azenbo"
369,川端 茅舎,1897,1941,"Kawabata, Bosha"
370,横瀬 夜雨,1878,1934,"Yokose, Yau"
371,細井 和喜蔵,1897,1925,"Hosoi, Wakizo"
372,桑原 隲蔵,1871,1931,"Kuwabara, Jitsuzo"
373,北畠 尊也,1967,N/A,"Kitabatake, Takaya"
374,饗庭 篁村,1855,1922,"Aeba, Koson"
375,青木 存義,1879,1935,"Aoki, Nagayoshi"
376,青木 月斗,1879,1949,"Aoki, Getto"
377,赤木 桁平　→池崎忠孝,1891,1949,"Akagi, Kohei"
378,明石 喜好,N/A,1946,"Akashi,"
380,浅井 洌,1849,1938,"Asai, Retsu"
381,足立 英司,N/A,1936,"Adachi, Eiji"
382,姉崎 嘲風　→姉崎正治,1873,1949,"Anesaki, Chofu"
383,姉崎 正治,1873,1949,"Anesaki, Masaharu"
384,阿部 章蔵　→水上滝太郎,1887,1940,"Abe, Shozo"
385,荒井 星花,1887,1942,"Arai,"
386,荒木 和聴,1902,1943,"Araki,"
387,荒木 古童,1823,1908,"Araki, Kodo"
388,淡島 寒月,1859,1926,"Awashima, Kangetsu"
389,飯田 胡春,1883,1937,"Iida, Koshun"
390,飯田 武郷,1828,1900,"Iida, Takesato"
391,飯田 忠純,1898,1936,"Iida, Tadasumi"
392,生田 葵山,1876,1945,"Ikuta, Kizan"
393,生田 長江,1882,1936,"Ikuta, Choko"
395,池田 大伍,1885,1942,"Ikeda, Daigo"
396,池田 不二男,1905,1943,"Ikeda, Fujio"
397,池田 蘆洲,1864,1934,"Ikeda, Roshu"
398,池谷 信三郎,1900,1933,"Iketani, Shinsaburo"
399,池辺 義象,1861,1923,"Ikebe, Yoshikata"
400,石井 直三郎,1890,1936,"Ishii, Naosaburo"
401,石井 露月,1873,1928,"Ishii, Rogetsu"
402,石川 戯庵,1876,1933,"Ishikawa, Gian"
403,石河 穰治,1911,1941,"Ishikawa, Joji"
404,石川 英雄,N/A,1945,"Ishikawa, Hideo"
405,石川 林四郎,1879,1939,"Ishikawa, Rinshiro"
406,石川 錬次,1893,1945,"Ishikawa, Renji"
407,石榑 千亦,1869,1942,"Ishikure, Chimata"
408,石黒 行平,1864,1931,"Ishiguro, Kohei"
409,石田 元季,1887,1943,"Ishida, Motosue"
410,石橋 思案,1867,1927,"Ishibashi, Shian"
411,石原 和三郎,1865,1922,"Ishihara, Wasaburo"
412,市島 春城,1860,1944,"Ichijima, Syunjo"
413,伊東 月草,1899,1946,"Ito, Gesso"
414,伊藤 痴遊　初代,1867,1938,"Ito, Chiyu Shodai"
415,伊東 貞助,1901,1946,"Ito, Teisuke"
416,伊藤 野枝,1895,1923,"Ito, Noe"
417,井上 源次郎,1876,1940,"Inoue, Genjiro"
418,井上 善次郎,1862,1941,"Inoue, Zenjiro"
419,井上 勤,1850,1928,"Inoue, Tsutomu"
420,井上 哲次郎,1856,1944,"Inoue, Tetsujiro"
421,井上 俊輔,1909,1946,"Inoue, Shunsuke"
422,井上 通泰,1866,1941,"Inoue, Michiyasu"
423,井上 頼圀,1839,1914,"Inoue, Yorikuni"
424,猪俣 津南雄,1889,1942,"Inomata, Tsunao"
425,伊庭 孝,1887,1937,"Iba, Takashi"
426,今井 十九二,N/A,1941,"Imai, Tokuji"
427,今井 白楊,1889,1917,"Imai, Hakuyo"
428,今川 節,1908,1934,"Imagawa, Setsu"
429,今村 外園,N/A,1931,"Imamura, Gaien"
430,伊良子 清白,1877,1946,"Irako, Seihaku"
431,入沢 達吉,1865,1938,"Irisawa, Tatsukichi"
432,岩野 晁次郎,1902,1945,"Iwano, Chojiro"
433,巖谷 小波　→巌谷小波,1870,1933,"Iwaya, Sazanami"
435,上田 万年,1867,1937,"Ueda, Kazutoshi"
436,上山 柑翁,1889,1942,"Ueyama,"
437,宇高 伸一,1886,1943,"Udaka, Shin'ichi"
438,歌沢 相模,1872,1943,"Utazawa, Sagami"
439,内田 巌,1900,1953,"Uchida, Iwao"
440,内海 弘蔵,1872,1935,"Utsumi, Kozo"
441,海上 胤平,1829,1916,"Unagami, Tanehira"
442,宇野 円空,1885,1949,"Uno, Enku"
443,梅若 実　初世,1828,1909,"Umewaka, Minoru Shosei"
444,漆間 徳定,1869,1944,"Urushima,"
445,海野 厚,N/A,1926,"Unno, Atsushi"
446,江藤 輝,1907,1946,"Eto,"
447,榎本 破笠,1866,1916,"Enomoto, Haryu"
448,江見 水蔭,1869,1934,"Emi, Suiin"
449,邑楽 慎一,1908,1945,"Ora, Shin'ichi"
450,大倉 桃郎,1879,1944,"Okura, Toro"
451,大河内 翠山,1880,1938,"Okochi, Suizan"
452,大島 正徳,1880,1947,"Oshima, Masanori"
453,大須賀 乙字,1881,1920,"Osuga, Otsuji"
454,太田 玉茗,1871,1927,"Ota, Gyokumei"
455,大谷 句仏,1875,1943,"Otani, Kubutsu"
456,大塚 楠緒子,1875,1910,"Otsuka, Kusuoko"
457,大槻 文彦,1847,1928,"Otsuki, Fumihiko"
458,大西 祝,1864,1900,"Onishi, Hajime"
459,大沼 哲,1889,1944,"Onuma, Satoru"
460,多 忠亮,1895,1929,"Ono, Tadasuke"
461,多 久寅,1884,1931,"Ono, Hisatora"
462,大橋 乙羽,1869,1901,"Ohashi, Otowa"
463,大橋 新太郎,1862,1944,"Ohashi, Shintaro"
464,大森 義太郎,1898,1940,"Omori, Gitaro"
465,大和田 建樹,1857,1910,"Owada, Takeki"
466,岡 鬼太郎,1872,1943,"Oka, Onitaro"
467,岡倉 由三郎,1868,1936,"Okakura, Yoshisaburo"
468,岡田 実麿,1878,1943,"Okada, Jitsumaro"
469,岡野 香,1893,1941,"Okano, Kaoru"
470,岡野 知十,1860,1932,"Okano, Chiju"
471,岡村 金太郎,1867,1935,"Okamura, Kintaro"
